region	country	division	location
Africa	Algeria	Adrar	
Africa	Algeria	Alger	
Africa	Algeria	Blida	
Africa	Algeria	Bordj-Bou-Arreridj	
Africa	Algeria	Boufarik	
Africa	Algeria	Bouira	
Africa	Algeria	El Oued	
Africa	Algeria	Laghouat	
Africa	Algeria	Ouargla	
Africa	Algeria	Sétif	
Africa	Algeria	Tipaza	
Africa	Algeria	Tizi-Ouzou	
Africa	Benin	Cotonou	
Africa	Benin	Oueme	
Africa	Botswana	Botswana	
Africa	Botswana	Francistown	
Africa	Botswana	Gaborone	
Africa	Botswana	Goodhope	
Africa	Botswana	Lobatse	
Africa	Botswana	Maun	
Africa	Botswana	Southern East	
Africa	Burkina Faso	Burkina Faso	
Africa	Burkina Faso	Cascades	
Africa	Burkina Faso	Cascades	Banfora
Africa	Burkina Faso	Hauts-Bassins	
Africa	Burkina Faso	Hauts-Bassins	Bobo Dioulasso
Africa	Burkina Faso	Hauts-Bassins	Houndé
Africa	Burkina Faso	Hauts-Bassins	N'Dorola
Africa	Burkina Faso	Hauts-Bassins	Orodara
Africa	Burkina Faso	Sud-Ouest	
Africa	Burkina Faso	Sud-Ouest	Batié
Africa	Burkina Faso	Sud-Ouest	Dano
Africa	Burkina Faso	Sud-Ouest	Gaoua
Africa	Cameroon	Bafoussam	
Africa	Cameroon	Cameroon	
Africa	Cameroon	Douala	
Africa	Cameroon	Dschang	
Africa	Cameroon	Ebolowa	
Africa	Cameroon	Kribi	
Africa	Cameroon	Sangmelima	
Africa	Cameroon	Yaounde	
Africa	Cameroon	Yaoundé	
Africa	Côte d'Ivoire	Beoumi	
Africa	Côte d'Ivoire	Bouafle	
Africa	Côte d'Ivoire	Bouaké	
Africa	Côte d'Ivoire	Bouaké	Brobo
Africa	Côte d'Ivoire	Côte d'Ivoire	
Africa	Côte d'Ivoire	Guiglo	
Africa	Côte d'Ivoire	Katiola	
Africa	Côte d'Ivoire	Séguéla	
Africa	Côte d'Ivoire	Yamoussoukro	
Africa	Democratic Republic of the Congo	Democratic Republic of the Congo	
Africa	Democratic Republic of the Congo	Haut-Katanga	
Africa	Democratic Republic of the Congo	Kinshasa	
Africa	Democratic Republic of the Congo	Kisantu	
Africa	Democratic Republic of the Congo	Kongo Central	
Africa	Democratic Republic of the Congo	Lualaba	
Africa	Democratic Republic of the Congo	Nord Kivu	
Africa	Democratic Republic of the Congo	Sud Kivu	
Africa	Egypt	Cairo	
Africa	Egypt	Cairo	Al Matariyyah
Africa	Egypt	Egypt	
Africa	Egypt	Faiyum	
Africa	Egypt	Kalyoubia	
Africa	Egypt	Nile River Cruise	
Africa	Equatorial Guinea	Bioko Norte	
Africa	Equatorial Guinea	Bioko Norte	Baney
Africa	Equatorial Guinea	Bioko Norte	Malabo
Africa	Equatorial Guinea	Bioko Sur	
Africa	Equatorial Guinea	Bioko Sur	Riaba
Africa	Equatorial Guinea	Equatorial Guinea	
Africa	Equatorial Guinea	Litoral	
Africa	Equatorial Guinea	Litoral	Bata
Africa	Equatorial Guinea	Litoral	Mbini
Africa	Equatorial Guinea	Wele Nzas	
Africa	Equatorial Guinea	Wele Nzas	Nsork
Africa	Ethiopia	Ethiopia	
Africa	Gabon	Libreville	
Africa	Gambia	Gambia	
Africa	Gambia	Kombo	
Africa	Gambia	West Coast Region	
Africa	Ghana	Ghana	
Africa	Ghana	Greater Accra	
Africa	Ghana	Greater Accra	Accra
Africa	Ghana	Volta	
Africa	Guinea	Conakry	
Africa	Ivory Coast	Ivory Coast	
Africa	Kenya	Kajiado	
Africa	Kenya	Kenya	
Africa	Kenya	Kilifi	
Africa	Kenya	Kwale	
Africa	Kenya	Lamu	
Africa	Kenya	Mombasa	
Africa	Kenya	Taita Taveta	
Africa	Kenya	Tana River	
Africa	Liberia	Liberia	
Africa	Madagascar	Analamanga	
Africa	Madagascar	Analamanga	Antananarivo
Africa	Madagascar	Analanjirofo	Fenoarivo
Africa	Madagascar	Toamasina	
Africa	Mali	Bamako	
Africa	Mali	Mali	
Africa	Mali	Mopti	
Africa	Mali	Timbuktu	
